id,question,reference_answer,skill,topic,subtopic,difficulty,category,role,keywords,evaluation_points,estimated_time_seconds
36,Explain Python's async/await and asyncio.,"asyncio provides an event loop running on a single thread. async def defines a coroutine. await suspends the current coroutine, allowing the event loop to run other coroutines while waiting for I/O. async for/async with for async iteration and context managers. Key concepts: coroutines are not threads — no true parallelism for CPU-bound tasks. asyncio.gather() runs multiple coroutines concurrently. Ideal for I/O-heavy apps: web servers, API clients, database queries.",Python,Backend Architecture,Async Programming,Medium,Technical,Backend Developer|Full Stack Developer|Software Engineer|Data Engineer,asyncio|async|await|coroutine|event loop|gather|I/O bound|concurrent,async/await syntax and coroutine concept|Event loop single-threaded execution model|asyncio.gather for concurrent coroutines|I/O-bound vs CPU-bound distinction,120
37,What is the difference between SQL GROUP BY and HAVING?,"GROUP BY collapses multiple rows into summary rows based on a column's value — used with aggregate functions (COUNT, SUM, AVG, MAX, MIN). HAVING filters the grouped result (like WHERE but applied AFTER aggregation). Execution order: FROM → WHERE → GROUP BY → HAVING → SELECT → ORDER BY. Example: SELECT department, AVG(salary) FROM employees GROUP BY department HAVING AVG(salary) > 50000.",Databases,Database Queries,SQL Aggregation,Easy,Technical,Backend Developer|Database Administrator|Data Scientist|Data Engineer|Full Stack Developer,GROUP BY|HAVING|aggregate|COUNT|SUM|AVG|WHERE|execution order,GROUP BY for row aggregation|Aggregate function usage|HAVING vs WHERE distinction|SQL execution order,90
38,How do you implement pagination efficiently at scale?,"Offset pagination (LIMIT/OFFSET) is simple but slow at high offsets (DB still scans all preceding rows). Cursor-based pagination (keyset pagination): WHERE id > last_seen_id ORDER BY id LIMIT n — O(1) regardless of position, no row skipping. Use cursor pagination for large datasets. Return next_cursor in response. Downside: no random page access, requires stable sort order. For search results with relevance scoring, use search_after in Elasticsearch.",Databases,Backend Architecture,Pagination,Medium,Technical,Backend Developer|Full Stack Developer|Software Engineer|Database Administrator,pagination|LIMIT|OFFSET|cursor|keyset|next_cursor|search_after|Elasticsearch,Offset pagination limitation at scale|Keyset/cursor pagination mechanics|O(1) vs O(N) complexity comparison|Search result pagination via search_after,120
39,What is a deadlock? How do you prevent it?,"A deadlock occurs when two or more threads/transactions each hold a resource the other needs, causing circular wait. Four Coffman conditions: Mutual Exclusion, Hold-and-Wait, No Preemption, Circular Wait. Prevention: Lock ordering (always acquire locks in the same global order), timeout and retry, deadlock detection (DB transaction managers detect and abort one transaction), avoid long-held locks, use optimistic locking for read-heavy workloads.",Operating Systems,System Architecture,Concurrency,Hard,Technical,Software Engineer|Backend Developer|Full Stack Developer|Database Administrator,deadlock|Coffman conditions|circular wait|lock ordering|timeout|optimistic locking|transaction,Four Coffman conditions|Lock ordering as primary prevention|DB deadlock detection and abort|Optimistic vs pessimistic locking comparison,120
40,Describe the MVC design pattern.,"MVC: Model (data and business logic — DB entities, validation), View (UI presentation — templates, components), Controller (handles requests, coordinates Model and View). Benefits: separation of concerns, testable models, swappable views, clear responsibility boundaries. Variants: MVP (Model-View-Presenter, View is passive), MVVM (Model-View-ViewModel, two-way data binding — used in React/Angular). In REST APIs, 'View' is the JSON response and Controller is the route handler.",Software Engineering,Object Oriented Design,Design Patterns,Easy,Technical,Software Engineer|Backend Developer|Full Stack Developer|Frontend Developer,MVC|Model|View|Controller|separation of concerns|MVP|MVVM|design pattern,Model-View-Controller responsibility separation|Separation of concerns benefit|MVC in REST API context|MVC vs MVP vs MVVM,90
41,"Explain React hooks: useEffect, useMemo, useCallback.","useEffect: runs side effects after render (data fetching, subscriptions). Dependency array controls when it re-runs: [] = once on mount, [dep] = when dep changes, no array = every render. Cleanup function handles unsubscribe. useMemo: memoizes an expensive computed value, recomputes only when dependencies change — avoids expensive recalculation on every render. useCallback: memoizes a function reference — prevents child re-renders when passing callbacks as props. Both useMemo and useCallback have a cost — only use when profiling confirms benefit.",React,Frontend Architecture,React Hooks,Medium,Technical,Frontend Developer|Full Stack Developer|Software Engineer,useEffect|useMemo|useCallback|dependency array|memoization|cleanup|side effect|re-render,useEffect dependency array behavior|useEffect cleanup pattern|useMemo for expensive computations|useCallback for stable function references,120
42,What is tree shaking in modern JavaScript bundlers?,"Tree shaking is dead code elimination for ES module (import/export) code. Bundlers like Webpack/Rollup/Vite analyze which exports are actually imported and exclude unused code from the bundle. Requires: ES module syntax (not CommonJS require()), pure functions (no side effects), proper sideEffects field in package.json. Side-effectful modules (CSS imports, polyfills) must be declared to avoid being incorrectly removed.",JavaScript,Frontend Architecture,Build Optimization,Hard,Technical,Frontend Developer|Full Stack Developer|Software Engineer,tree shaking|dead code elimination|ES modules|Webpack|Rollup|Vite|sideEffects|bundle size,Dead code elimination concept|ES module requirement for tree shaking|sideEffects field in package.json|Comparison with CommonJS (no tree shaking),90
43,How does Python's list comprehension differ from a generator expression?,"List comprehension [x for x in range(N)] creates the entire list in memory immediately. Generator expression (x for x in range(N)) creates a lazy iterator — values computed on demand. Use list comprehension when you need the full list (random access, multiple iterations, len()). Use generator expression for single-pass large data processing to save memory. Generator expressions are O(1) memory vs O(N) for list comprehension.",Python,Software Engineering,Memory Management,Easy,Technical,Backend Developer|Data Scientist|Full Stack Developer|Software Engineer,list comprehension|generator expression|lazy|memory|iterator|O(1)|O(N),List comprehension eager evaluation|Generator expression lazy evaluation|Memory footprint comparison|When to prefer each approach,90
44,Explain how React Context and Redux differ for state management.,"React Context is built-in — good for low-frequency, global state (theme, locale, auth). Cons: every consumer re-renders on context value change (no selective subscription without useMemo/memo). Redux: external library, predictable state container with actions and reducers, devtools for time-travel debugging, middleware (thunk, saga) for async, selective subscription via useSelector (prevents unnecessary re-renders). Redux Toolkit reduces boilerplate. Use Context for simple global config; Redux for complex, frequently-updated shared state.",React,Frontend Architecture,State Management,Medium,Technical,Frontend Developer|Full Stack Developer|Software Engineer,Context|Redux|useSelector|useReducer|re-render|DevTools|Redux Toolkit|middleware|thunk,Context re-render on every change issue|Redux selective subscription benefit|Redux Toolkit boilerplate reduction|Use case decision criteria,120
45,What is WebSocket and when would you use it instead of HTTP polling?,"WebSocket is a persistent, full-duplex TCP connection established via HTTP Upgrade handshake. Unlike HTTP, both client and server can send messages at any time. Use WebSocket for: real-time chat, live dashboards, multiplayer games, collaborative editing, live notifications. HTTP long polling keeps the request open until server has data — higher overhead. Server-Sent Events (SSE) are unidirectional (server → client), simpler but one-way. Choose SSE for feeds; WebSocket for bidirectional real-time communication.",Networking,Backend Architecture,Real-Time,Medium,Technical,Backend Developer|Full Stack Developer|Software Engineer|Frontend Developer,WebSocket|HTTP|polling|Server-Sent Events|SSE|full-duplex|TCP|real-time|bidirectional,WebSocket persistent bidirectional connection|HTTP Upgrade handshake mechanism|Polling vs WebSocket overhead|SSE for unidirectional server-push,120
46,How does k-means clustering work? What are its limitations?,"k-means randomly initializes k centroids, assigns each point to nearest centroid (Euclidean distance), recomputes centroids as cluster means, repeats until convergence. Time complexity: O(n*k*i) where i is iterations. Limitations: must specify k in advance (use elbow method or silhouette score), assumes spherical clusters, sensitive to initialization (use k-means++), sensitive to outliers, doesn't work well with high-dimensional data (curse of dimensionality), not suitable for non-convex clusters.",Machine Learning,ML Algorithms,Clustering,Medium,Technical,Data Scientist|ML Engineer|Software Engineer,k-means|centroid|clustering|Euclidean|elbow method|silhouette|k-means++|convergence,Centroid initialization and assignment steps|Convergence criterion|Need to pre-specify k and alternatives|Spherical cluster assumption limitation,120
47,"Explain gradient descent and its variants (SGD, mini-batch, Adam).","Gradient descent minimizes loss by stepping in the negative gradient direction: θ = θ - α * ∇L. Variants: Batch GD (uses all data per step — slow for large datasets), SGD (Stochastic — one sample per step — noisy but fast, can escape local minima), Mini-batch GD (small batches — balanced). Adaptive methods: Adam combines momentum (moving avg of gradients) + RMSProp (moving avg of squared gradients), adjusting learning rate per parameter. Adam converges faster in practice.",Machine Learning,ML Fundamentals,Optimization,Hard,Technical,Data Scientist|ML Engineer|Software Engineer,gradient descent|SGD|mini-batch|Adam|learning rate|momentum|RMSProp|loss|convergence,Gradient descent loss minimization mechanics|SGD vs batch vs mini-batch trade-offs|Adam optimizer combining momentum and RMSProp|Learning rate and convergence relationship,120
48,What is overfitting? How do you prevent it?,"Overfitting: model memorizes training data but fails to generalize (high variance, low bias). Signs: training loss << validation loss. Prevention: more training data, regularization (L1/L2 penalize large weights), dropout (neural nets, randomly zero neurons), early stopping (stop when val loss stops improving), cross-validation, data augmentation, simpler model, ensemble methods. Underfitting (high bias): model too simple — increase capacity or features.",Machine Learning,ML Fundamentals,Model Evaluation,Medium,Technical,Data Scientist|ML Engineer|Software Engineer,overfitting|generalization|variance|bias|L1|L2|dropout|early stopping|cross-validation|regularization,Overfitting definition and signs|Bias-variance trade-off|Regularization techniques (L1/L2/dropout)|Early stopping and cross-validation,120
49,"What is a confusion matrix and how do you interpret precision, recall, F1?","Confusion matrix shows TP, FP, FN, TN. Precision = TP/(TP+FP) — when we predict positive, how often correct? Recall (Sensitivity) = TP/(TP+FN) — of all actual positives, how many did we catch? F1 = 2*(P*R)/(P+R) — harmonic mean balancing precision and recall. Use Precision when false positives are costly (spam detection). Use Recall when false negatives are costly (cancer screening). AUC-ROC measures model's discrimination ability across all thresholds.",Machine Learning,ML Evaluation,Metrics,Easy,Technical,Data Scientist|ML Engineer|Software Engineer,confusion matrix|precision|recall|F1|TP|FP|FN|TN|AUC-ROC,Confusion matrix four quadrants|Precision definition and high-precision use case|Recall definition and high-recall use case|F1 as harmonic mean balance,90
50,What is the difference between ETL and ELT?,"ETL (Extract, Transform, Load): extract from source, transform in a staging area (data warehouse or ETL server), load cleaned data into destination. Traditional approach for on-premise warehouses. ELT (Extract, Load, Transform): load raw data into destination first (data lake/cloud DW), transform there using the warehouse's compute. Cloud DWs (BigQuery, Snowflake, Redshift) make ELT practical since transformation cost is low on powerful cloud compute. ELT is more flexible — raw data retained for reprocessing.",Data Engineering,Data Architecture,ETL vs ELT,Easy,Technical,Data Engineer|Data Scientist|Backend Developer,ETL|ELT|extract|transform|load|data warehouse|data lake|BigQuery|Snowflake|staging,ETL traditional staging area transformation|ELT raw data preservation|Cloud DW compute enabling ELT|Flexibility of ELT for schema evolution,90
51,Explain how a hash table works. What happens on collision?,"Hash table stores key-value pairs. Hash function maps key to an index (bucket). Collision (two keys map to same index) resolution: Chaining (each bucket is a linked list of colliding entries), Open Addressing (probe next available slot: linear, quadratic, double hashing). Average O(1) lookup/insert/delete. Worst case O(N) if all keys collide (bad hash function, DoS via hash collision attack). Load factor = n/m (entries/buckets); rehashing when load factor exceeds threshold (typically 0.75).",Computer Science,Data Structures,Hash Tables,Medium,Technical,Software Engineer|Backend Developer|Full Stack Developer|Data Scientist,hash table|hash function|collision|chaining|open addressing|load factor|rehashing|O(1),Hash function mapping key to index|Chaining vs open addressing collision resolution|O(1) average vs O(N) worst case|Load factor and rehashing threshold,90
52,How does a binary search tree (BST) work? What about a balanced BST?,"BST property: left child < parent < right child. Operations: search O(h), insert O(h), delete O(h) where h = tree height. Problem: unbalanced BST (sorted insertion) degrades to O(N). Balanced BSTs maintain O(log N) height: AVL tree (strictly balanced, rotations on insert/delete), Red-Black tree (less strict, fewer rotations — used in Java TreeMap, C++ std::map), B-Tree (multi-key nodes, used in database indexes). TreeMap/SortedMap use Red-Black trees.",Computer Science,Data Structures,Trees,Medium,Technical,Software Engineer|Backend Developer|Full Stack Developer|Data Scientist,BST|binary search tree|balanced|AVL|Red-Black|B-Tree|rotation|O(log N)|O(N),BST property and operations|Unbalanced BST worst case|AVL vs Red-Black balance trade-off|B-Tree for database index use case,90
53,What is Big O notation? Analyze the complexity of common sorting algorithms.,"Big O describes worst-case time/space complexity as input size N grows. Common: O(1) constant, O(log N) binary search, O(N) linear scan, O(N log N) merge sort, O(N²) bubble/insertion/selection sort, O(2^N) combinatorial. Sorting: Bubble/Insertion/Selection O(N²) average/worst. Merge Sort O(N log N) always (stable). Quick Sort O(N log N) average, O(N²) worst (bad pivot). Heap Sort O(N log N) always (not stable). Counting/Radix Sort O(N+k) for integer keys.",Computer Science,Algorithms,Complexity Analysis,Easy,Technical,Software Engineer|Backend Developer|Full Stack Developer|Data Scientist|ML Engineer,Big O|O(1)|O(log N)|O(N)|O(N log N)|O(N²)|merge sort|quick sort|heap sort|stable sort,Big O notation and growth rate concept|Quadratic vs linearithmic sorting algorithms|Merge sort guarantees|Quick sort average vs worst case,90
54,Explain dynamic programming. Give an example.,"DP solves problems by breaking into overlapping subproblems, storing results (memoization/tabulation) to avoid recomputation. Two approaches: Top-down memoization (recursion + cache), Bottom-up tabulation (fill table iteratively). Classic examples: Fibonacci (O(N) with DP vs O(2^N) naive), Longest Common Subsequence, Knapsack, Coin Change, Shortest Path (Bellman-Ford). Key insight: optimal substructure (solution to problem contains solutions to subproblems) + overlapping subproblems.",Computer Science,Algorithms,Dynamic Programming,Hard,Technical,Software Engineer|Backend Developer|Data Scientist|ML Engineer,dynamic programming|memoization|tabulation|overlapping subproblems|optimal substructure|Fibonacci|Knapsack|LCS,Overlapping subproblems identification|Optimal substructure requirement|Memoization vs tabulation approaches|Concrete example with complexity improvement,120
55,What is a graph and how do BFS/DFS work?,"Graph G = (V, E). Directed vs undirected, weighted vs unweighted, cyclic vs acyclic (DAG). BFS (Breadth-First Search): uses queue, explores level by level, finds shortest path in unweighted graph, O(V+E). DFS (Depth-First Search): uses stack (or recursion), explores as far as possible before backtracking, used for topological sort, cycle detection, connected components, O(V+E). Applications: BFS → shortest path, web crawler; DFS → maze solving, topological ordering.",Computer Science,Algorithms,Graph Algorithms,Medium,Technical,Software Engineer|Backend Developer|Full Stack Developer|Data Scientist,graph|BFS|DFS|queue|stack|shortest path|topological sort|cycle detection|O(V+E),"Graph types (directed, weighted, cyclic)|BFS level-order traversal and shortest path|DFS stack-based exploration|Applications: BFS for shortest path, DFS for topological sort",120
56,Explain the Android Activity lifecycle.,"Activity lifecycle callbacks: onCreate (initialize, set layout), onStart (visible not interactive), onResume (interactive, foreground), onPause (losing focus, save state), onStop (fully hidden), onRestart (returning from stopped), onDestroy (final cleanup). Key: save state in onSaveInstanceState for configuration changes (rotation). Fragment has similar lifecycle tied to Activity. Process death: OS may kill stopped Activity — restore state from savedInstanceState Bundle.",Android,Mobile Development,Lifecycle,Medium,Technical,Android Developer|Mobile Developer|Software Engineer,Activity|lifecycle|onCreate|onResume|onPause|onStop|onDestroy|savedInstanceState|Fragment,Activity lifecycle callback sequence|onSaveInstanceState for state persistence|Configuration change handling|Process death and state restoration,120
57,What is Kotlin coroutines? How do they compare to Java threads?,"Kotlin coroutines are lightweight concurrency primitives — thousands can run on a few threads. Suspend functions suspend without blocking the thread. CoroutineScope manages coroutine lifecycle. Dispatchers: Main (UI thread), IO (I/O ops), Default (CPU). Structured concurrency: child coroutines fail when parent is cancelled. Benefits over threads: no callback hell, sequential async code style, very cheap to create, easy cancellation. Flow for reactive streams (cold, cancellable).",Android,Mobile Development,Coroutines,Hard,Technical,Android Developer|Mobile Developer|Software Engineer,Kotlin|coroutines|suspend|CoroutineScope|Dispatcher|structured concurrency|Flow|async|await,Coroutine lightweight compared to threads|suspend function non-blocking semantics|Dispatcher types and their purposes|Structured concurrency and cancellation,120
58,What is Swift Optionals and how do you safely unwrap them?,"Optionals represent values that may be absent (nil). Declared as Type? (Optional<Type>). Safe unwrapping: if let (conditional binding), guard let (early exit), optional chaining (obj?.prop?.method()), nil coalescing (value ?? default). Forced unwrap (!) crashes on nil — use only when guaranteed non-nil. Optional map/flatMap for transformations. Implicitly unwrapped optionals (Type!) for properties initialized after init.",iOS,Mobile Development,Swift Language,Medium,Technical,iOS Developer|Mobile Developer|Software Engineer,Swift|Optional|nil|if let|guard let|optional chaining|nil coalescing|forced unwrap|implicitly unwrapped,"Optional as nullable type concept|Safe unwrapping patterns (if let, guard let)|Optional chaining for nested nil safety|Forced unwrap risk and when acceptable",90
59,What is the iOS Auto Layout system?,"Auto Layout uses constraints to define views' positions relative to other views or the superview. Constraint types: equal, >= <=, multiplier, constant. Priority (1-1000): required=1000, high=750, low=250. Content Hugging (resist growing) and Compression Resistance (resist shrinking). Intrinsic content size for labels, images. Stack Views simplify linear layouts. Debug: ambiguous constraints (missing constraints), unsatisfiable (conflicting). Use `constraintEqualToAnchor` or Storyboard Interface Builder.",iOS,Mobile Development,UI Development,Medium,Technical,iOS Developer|Mobile Developer|Software Engineer,Auto Layout|constraints|intrinsic content size|Stack View|priority|Content Hugging|Compression Resistance|ambiguous,Constraint-based layout system|Intrinsic content size concept|Content Hugging and Compression Resistance|Ambiguous vs unsatisfiable constraints,120
60,What is a CI/CD pipeline for mobile apps?,"Mobile CI/CD: code push → unit tests (XCTest/JUnit) → UI tests (Espresso/XCUITest) → static analysis (SwiftLint/Detekt) → build (Xcode/Gradle) → sign (certificates/keystores) → distribute (Firebase App Distribution, TestFlight for internal) → production release (App Store Connect, Google Play Console) using fastlane. Automated semantic versioning, changelog generation. TestFlight/Firebase for beta. Manual review gate for App Store submission.",DevOps,Software Engineering,Mobile CI/CD,Medium,Technical,iOS Developer|Android Developer|Mobile Developer|DevOps Engineer,CI/CD|XCTest|Espresso|fastlane|TestFlight|Firebase App Distribution|App Store|Play Store|Gradle|Xcode,Unit and UI test automation|Build and signing automation|Beta distribution channels|Production release pipeline,120
61,What is test-driven development (TDD)?,"TDD follows Red-Green-Refactor: Write a failing test (Red), write minimal code to pass (Green), refactor without breaking tests. Benefits: forces clear requirements, catches regressions early, leads to testable (loosely coupled) design, living documentation. Types: Unit tests (isolated functions/classes), Integration tests (component interactions), E2E tests (full user flows). Testing pyramid: many unit tests, fewer integration, few E2E. Mocking: replace dependencies with test doubles.",Software Engineering,Testing,TDD,Medium,Technical,Software Engineer|Backend Developer|Frontend Developer|Full Stack Developer|QA Engineer,TDD|Red-Green-Refactor|unit test|integration test|E2E|mocking|test double|testing pyramid,Red-Green-Refactor cycle|Three test type definitions|Testing pyramid principle|Mocking for dependency isolation,90
62,Explain the difference between unit testing and integration testing.,"Unit tests: test a single function/class in isolation, mock all external dependencies, fast (milliseconds), many in number, pinpoint failure location. Integration tests: test interaction between multiple components (service + DB, API + client), use real or in-memory dependencies, slower, fewer in number. E2E tests: test complete user workflows in a real browser/environment, slowest, fewest. The testing pyramid guides proportions: many unit, some integration, few E2E.",Software Engineering,Testing,Test Types,Easy,Technical,Software Engineer|Backend Developer|Frontend Developer|Full Stack Developer|QA Engineer,unit test|integration test|E2E|isolation|mock|testing pyramid|regression|fast,Unit test isolation and mocking|Integration test scope and dependencies|E2E test characteristics|Testing pyramid proportions,90
63,What is a load balancer and what algorithms does it use?,"A load balancer distributes incoming traffic across multiple servers to prevent overload and increase availability. Algorithms: Round Robin (sequential), Weighted Round Robin (capacity-based), Least Connections (to least busy server), IP Hash (sticky sessions — same client → same server), Random. Health checks mark unhealthy servers as unavailable. Layer 4 (TCP) vs Layer 7 (HTTP, route by URL/header) load balancers. AWS ELB, NGINX, HAProxy are common.",System Design,Infrastructure,Load Balancing,Medium,Technical,DevOps Engineer|Backend Developer|Cloud Engineer|Software Engineer|Full Stack Developer,load balancer|Round Robin|Least Connections|IP Hash|sticky session|Layer 4|Layer 7|health check,Load balancing purpose and availability benefit|Round Robin vs Least Connections algorithms|Sticky sessions via IP Hash|Layer 4 vs Layer 7 distinction,90
64,What is a CDN (Content Delivery Network) and how does it work?,"A CDN is a geographically distributed network of edge servers that cache static content (images, CSS, JS, video) close to end users. Flow: user → nearest PoP (Point of Presence) → cache HIT returns content, cache MISS fetches from origin, caches, returns. Benefits: reduced latency (geographic proximity), reduced origin load, DDoS protection, high availability. Cache invalidation: TTL-based, purge APIs, cache-busting via versioned URLs (main.a1b2c3.js).",System Design,Infrastructure,CDN,Easy,Technical,DevOps Engineer|Backend Developer|Cloud Engineer|Full Stack Developer|Software Engineer,CDN|edge server|cache|PoP|cache hit|cache miss|origin|TTL|cache invalidation|DDoS,CDN geographic distribution purpose|Cache hit vs miss flow|Cache invalidation strategies|DDoS protection benefit,90
65,Describe the STAR method for answering behavioral questions.,"STAR: Situation (context and background), Task (your responsibility or goal), Action (specific steps YOU took — use 'I' not 'we'), Result (quantified outcome and lessons learned). Good STAR answers are specific (not hypothetical), action-focused, and results-driven. Aim for 2-3 minutes. Prepare 6-8 STAR stories covering: leadership, conflict, failure, success, teamwork, innovation, time pressure.",Communication,Behavioral,Interview Technique,Easy,Behavioral,Software Engineer|Frontend Developer|Backend Developer|Full Stack Developer|Data Scientist|ML Engineer|DevOps Engineer|iOS Developer|Android Developer|QA Engineer|Product Manager,STAR|Situation|Task|Action|Result|behavioral|storytelling,STAR framework four components|Specificity and quantified results|First-person action focus|Preparation of reusable stories,60
66,How do you prioritize tasks when everything seems urgent?,"I use a prioritization framework like the Eisenhower Matrix (Urgent+Important first, Important not urgent scheduled, Urgent not important delegated, neither eliminated) or MoSCoW (Must/Should/Could/Won't). I communicate with stakeholders to validate urgency, break large tasks into smaller deliverables, and use time-boxing. I also flag risks early when deadlines conflict.",Problem Solving,Behavioral,Prioritization,Medium,Behavioral,Software Engineer|Frontend Developer|Backend Developer|Full Stack Developer|Data Scientist|Product Manager|QA Engineer,prioritization|Eisenhower Matrix|MoSCoW|urgent|important|stakeholder|time-boxing|delegation,Prioritization framework used|Stakeholder communication approach|Time-boxing technique|Risk flagging and transparency,60
67,Describe a time you made a mistake and how you handled it.,"When I [made specific mistake], I immediately [acknowledged it / flagged it to team]. I took responsibility by [specific actions: fixing, communicating, documenting]. I learned [lesson] and put in place [preventive measure: code review, test, process change] to prevent recurrence. The outcome was [result after recovery].",Integrity,Behavioral,Accountability,Medium,Behavioral,Software Engineer|Frontend Developer|Backend Developer|Full Stack Developer|Data Scientist|ML Engineer|DevOps Engineer|iOS Developer|Android Developer|QA Engineer|Product Manager,mistake|accountability|ownership|recovery|lesson|process improvement,Ownership and accountability shown|Specific corrective actions taken|Preventive measure implemented|Recovery outcome and learning,90
68,What is the difference between synchronous and asynchronous programming?,"Synchronous: code executes line by line, each statement waits for the previous to complete. Simple but blocks — I/O operations freeze the thread. Asynchronous: operations are initiated and control returns immediately; result handled via callbacks, promises, or async/await when complete. Enables concurrency without multiple threads. Key for: web servers (handling many concurrent requests), UI (keeping interface responsive during network calls), any I/O-bound operations.",Software Engineering,Backend Architecture,Async Programming,Easy,Technical,Software Engineer|Backend Developer|Frontend Developer|Full Stack Developer,synchronous|asynchronous|blocking|non-blocking|callback|promise|async|await|concurrent,Synchronous blocking execution|Asynchronous non-blocking with callback/promise|Practical use cases for async|Connection to single-threaded environments,90
69,What is a REST API rate limiting strategy?,"Rate limiting protects APIs from abuse and ensures fair usage. Strategies: Token Bucket (allows bursting), Sliding Window (accurate, distributed-safe), Fixed Window (simple but boundary-burst vulnerable). Implementation: Redis INCR + EXPIRE per client key (IP or API key). Headers: X-RateLimit-Limit, X-RateLimit-Remaining, X-RateLimit-Reset. Response: 429 Too Many Requests with Retry-After. Consider per-endpoint limits, per-org limits, and tiered plans.",System Design,Backend Architecture,API Rate Limiting,Medium,Technical,Backend Developer|Full Stack Developer|Software Engineer|DevOps Engineer|Cloud Engineer,rate limiting|token bucket|sliding window|Redis|INCR|EXPIRE|429|Retry-After|API key,Token bucket and sliding window algorithms|Redis implementation pattern|429 status code and Retry-After header|Per-client vs per-org granularity,120
70,How do you debug a memory leak in a web application?,"Memory leak indicators: increasing memory usage over time, OOM errors, degrading response times. Tools: Chrome DevTools Memory tab (heap snapshots, timeline), Node.js --inspect (clinic.js, memwatch-next), heap profiling. Common causes in JS: forgotten event listeners (add without removeEventListener), closures holding references, detached DOM nodes, global variables, setInterval without clearInterval. Fix: proper cleanup in componentWillUnmount / useEffect return, weak references (WeakMap/WeakSet), object pooling.",Performance,Frontend Architecture,Memory Management,Hard,Technical,Frontend Developer|Backend Developer|Full Stack Developer|Software Engineer,memory leak|heap snapshot|DevTools|event listener|closure|detached DOM|WeakMap|setInterval|cleanup,"Heap snapshot comparison approach|Event listener and closure leak causes|Proper cleanup patterns (unmount, effect return)|WeakMap/WeakSet for weak references",120
71,Explain the concept of eventual consistency in distributed databases.,"Eventual consistency: in the absence of updates, all replicas will converge to the same value eventually (but may diverge temporarily). Contrast with strong consistency (all reads see the latest write). Used by: DynamoDB, Cassandra, CouchDB. BASE model (Basically Available, Soft state, Eventually consistent) vs ACID. Read-your-writes consistency: a user always sees their own writes. Quorum reads/writes (R+W>N) achieves stronger consistency in eventually consistent systems.",Distributed Systems,System Design,Consistency Models,Hard,Technical,Backend Developer|Software Engineer|Cloud Engineer|Data Engineer,eventual consistency|strong consistency|replicas|BASE|ACID|DynamoDB|Cassandra|quorum|read-your-writes,Eventual consistency definition and convergence|Contrast with strong consistency|BASE vs ACID models|Quorum-based stronger consistency,120
72,What is a message queue? Compare RabbitMQ and Kafka.,"Message queues decouple producers from consumers, enabling async processing, load leveling, and fault tolerance. RabbitMQ: traditional message broker, push-based, messages deleted after consumption, routing via exchanges, good for task queues and RPC patterns. Kafka: distributed commit log, messages retained for configurable period, consumer-managed offsets, consumer groups for parallel processing, excellent for event streaming, audit trails, high throughput. Use RabbitMQ for transient task queues; Kafka for event streaming and replay.",System Design,Backend Architecture,Message Queues,Medium,Technical,Backend Developer|Software Engineer|DevOps Engineer|Data Engineer|Cloud Engineer,message queue|RabbitMQ|Kafka|producer|consumer|broker|event streaming|offset|consumer group|fault tolerance,Message queue decoupling benefit|RabbitMQ push-based task queue|Kafka log retention and replay|Consumer groups for parallel consumption,120
73,Explain Pandas DataFrames and common operations for data analysis.,"Pandas DataFrame is a 2D tabular data structure with labeled axes. Common operations: read_csv/read_sql for loading, head/tail/info/describe for exploration, loc/iloc for selection (label vs position), groupby for aggregation, merge/join for combining, apply for row/column functions, fillna/dropna for missing data, pivot_table for reshaping, sort_values, value_counts. Vectorized operations are much faster than Python loops — use them instead of iterrows.",Python,Data Analysis,Pandas,Easy,Technical,Data Scientist|Data Engineer|ML Engineer|Backend Developer,Pandas|DataFrame|groupby|merge|pivot_table|loc|iloc|fillna|dropna|vectorized,DataFrame selection with loc vs iloc|groupby aggregation operations|Missing data handling (fillna/dropna)|Vectorized operations vs iterrows performance,90
74,What is feature engineering in machine learning?,"Feature engineering transforms raw data into informative features that improve model performance. Techniques: encoding categorical variables (one-hot, label encoding, target encoding), scaling (StandardScaler, MinMaxScaler), binning continuous values, creating interaction features (feature1 * feature2), time-based features (day of week, hour, lag features), log transforms for skewed distributions, TF-IDF for text, PCA for dimensionality reduction. Domain knowledge crucial for meaningful feature creation.",Machine Learning,ML Fundamentals,Feature Engineering,Medium,Technical,Data Scientist|ML Engineer,feature engineering|one-hot encoding|StandardScaler|PCA|TF-IDF|interaction features|dimensionality reduction|target encoding,Categorical variable encoding approaches|Numerical feature scaling methods|Dimensionality reduction with PCA|Domain-driven feature creation,120
75,What is transfer learning in deep learning?,"Transfer learning uses a pre-trained model (trained on large dataset like ImageNet or a large text corpus) as a starting point, then fine-tunes on a smaller domain-specific dataset. Benefits: dramatically reduces training data required, faster training, often better generalization. Common approaches: Feature extraction (freeze pretrained layers, train new head), Fine-tuning (unfreeze top layers, train with small learning rate). Examples: BERT/GPT for NLP tasks, ResNet/EfficientNet for computer vision, Whisper for speech recognition.",Machine Learning,Deep Learning,Transfer Learning,Medium,Technical,Data Scientist|ML Engineer|Software Engineer,transfer learning|fine-tuning|pre-trained|BERT|GPT|ResNet|ImageNet|feature extraction|frozen layers,Transfer learning vs training from scratch|Feature extraction vs fine-tuning approach|Required data reduction benefit|Domain-specific adaptation,120
